landslide_size,fatality_count,longitude,latitude
unknown,0,-123.8629,44.6792
medium,0,121.2194,17.9209
medium,3,-70.044,18.427
medium,5,122.7663,14.2245
medium,,-2.9735,51.3512
very_large,277,111.5837,35.8853
medium,0,93.1645,25.5215
medium,0,-61.5335,10.6834
medium,0,75.2845,33.2049
unknown,0,-122.6265,43.8396
small,0,-119.7538,37.7289
small,0,170.1797,-43.5698
medium,0,75.244,33.2609
medium,1,109.8971,31.0918
medium,0,-77.0428,18.2031
small,0,-89.16745224,16.18792822
medium,1,77.2181,32.3491
large,12,-44.3228,-23.0085
medium,0,124.3113,7.5048
small,0,-122.3793,47.7628
medium,0,-81.33663404,38.5327856
medium,,124.9845,10.3926
small,0,-122.7994,40.6632
medium,0,-108.0383,38.0053
medium,0,-121.8022,56.1127
medium,,-2.301,37.3385
medium,0,-61.3583,15.2174
medium,0,81.1079,7.0381
medium,,-121.086,47.7463
small,,-158.026,21.62
medium,0,37.07,-0.7978
medium,0,-77.4274,39.6526
very_large,234,77.4871,34.1416
medium,,116.036,27.278
small,0,27.912,43.2022
unknown,4,37.6538,0.0487
medium,0,115.087,-8.3251
medium,3,-72.3224,18.5283
medium,0,-83.6348,36.7411
medium,0,-122.3088,47.9419
medium,2,112.1686,23.8616
medium,0,123.2981,8.5091
medium,0,91.2,25.8833
medium,2,85.8416,27.7773
medium,0,121.3267,17.5291
medium,0,86.6444,27.2485
medium,0,-92.1124,15.0337
medium,0,106.9272,-6.9197
medium,1,35.65,33.8745
medium,,88.2778,26.885
medium,,-82.7938,35.5429
medium,0,-122.3412,48.2357
medium,0,-110.1843,42.1823
medium,1,75.0582,32.6987
medium,0,75.3226,34.2952
medium,0,94.0462,25.3179
small,0,-103.7243,41.8206
large,0,109.4872,28.4314
small,0,-119.7847,36.8242
small,0,143.4041,-37.8145
medium,,-104.9722,38.8971
medium,0,-121.6815,36.9566
small,0,121.168,14.5902
large,2,-71.9165,-11.6953
unknown,0,-124.0576,44.7273
large,0,-16.7406,65.0167
medium,,93.4333,24.75
unknown,0,-123.735,42.9861
medium,0,-123.0023,49.3418
medium,,113.9171,0.1115
medium,3,83.9704,27.8871
medium,0,-122.373,47.2473
medium,0,-114.7613,45.794
medium,,101.7022,3.1564
unknown,0,-123.9343,45.5617
medium,0,91.7227,24.5784
medium,,-80.0181,40.4239
unknown,0,-123.9405,45.5674
medium,0,121.2368,17.5541
very_large,1,-96.6045,17.1933
medium,0,-117.2354,32.7833
small,0,-118.9774,34.0615
medium,0,89.9019,27.8122
medium,,107.2327,16.5489
medium,0,-84.778,13.7484
medium,,121.4196,17.4458
medium,0,-156.1793,20.8699
large,2,35.56580095,0.771483087
small,,-86.5011,31.3077
small,0,-58.1315,49.0099
medium,1,107.581,-7.2708
small,0,-82.6886,37.6041
medium,0,1.8351,42.6975
medium,,116.4333,6.3667
medium,0,-122.6172,47.6495
medium,0,-90.4862,14.6277
medium,,80.2174,6.0327
small,0,98.2879,7.874
medium,0,-124.2259,43.2479
medium,,81.8833,29.1426
medium,0,-122.1128,47.6045
small,0,-123.2331,46.1131
medium,0,-123.4219,48.1175
medium,0,-105.9348,38.5019
medium,0,84.3075,27.9504
small,0,-83.9498,9.7962
small,0,-122.1367,37.2524
small,0,-120.3614,47.4289
medium,2,73.1983,34.166
small,0,177.7137,-17.6195
small,0,130.8266,32.9778
unknown,0,-122.7502,43.3433
small,0,-121.3724,49.3835
medium,,94.3619,25.0985
small,0,-82.6347,38.5805
medium,1,131.5241,33.2367
medium,3,-72.9667,7.35
medium,0,106.593,17.4468
medium,0,-76.5835,17.9647
medium,5,120.5519,16.3183
medium,0,73.6558,34.9002
medium,3,125.2236,7.6805
medium,,-122.3829,44.8268
medium,0,75.496,34.1601
medium,,55.652,25.5768
medium,0,-117.9722,36.1184
medium,0,-92.7704,16.1514
medium,0,-43.1067,-22.9149
large,4,88.28,26.88
small,,-60.566,11.267
medium,1,-72.1287,-36.6203
medium,,-111.9045,40.3309
medium,,78.61786282,30.80200029
medium,0,-76.5029,18.1865
medium,0,120.8036,16.7693
medium,0,-122.0125,46.3822
medium,2,87.6017,27.2625
small,0,83.6117,28.2658
medium,,-1.2666,60.1366
small,0,-123.9047,45.5469
medium,0,-83.5565,9.3496
medium,0,-66.815,10.4393
medium,0,100.6669,-0.9813
medium,,125.5593,8.9697
medium,0,-122.1458,47.539
medium,1,127.5183,37.4138
medium,0,-76.2781,18.0445
medium,0,76.9792,9.6326
small,0,6.7208,46.4885
medium,0,75.1773,33.3308
medium,0,73.7735,19.3421
medium,,79.2498,30.2835
medium,0,-122.2337,47.5704
small,0,-2.8339,54.8861
unknown,0,-123.9471,45.5953
medium,5,-77.3834,1.4499
medium,6,108.02,36.04
medium,0,177.5031,-18.1388
medium,3,-90.5316,14.6229
medium,0,-122.3622,48.1304
medium,0,121.5082,14.0728
