landslide_size,fatality_count,longitude,latitude,date,country_name,landslide_trigger,injuries,type
medium,4,76.89785918,8.558668245,6/5/2017 13:34,,construction,1,landslide
large,2,73.86293399,34.56101506,6/4/2017 13:34,,unknown,0,landslide
medium,2,85.70071225,21.556137,6/21/2017 18:51,,construction,2,riverbank_collapse
medium,0,121.8676602,24.54070891,5/29/2017 13:34,,mining,0,landslide
small,0,-105.363267,38.49307909,6/1/2017 13:34,,unknown,0,rock_fall
small,2,92.74744512,23.73354779,6/10/2017 13:27,,rain,,landslide
medium,0,87.67107225,27.33861278,6/4/2017 13:34,,continuous_rain,0,landslide
small,0,74.66018578,13.90074546,6/12/2017 13:27,,rain,0,landslide
medium,0,94.36416626,25.11956675,6/12/2017 13:27,,continuous_rain,0,mudslide
small,0,-119.3390619,46.24948002,6/27/2017 13:10,,downpour,0,mudslide
small,0,-79.82932494,43.23493275,5/27/2017 13:34,,unknown,0,rock_fall
medium,0,72.67711817,41.60140744,5/17/2017 13:15,,rain,0,landslide
small,0,-2.73575,50.700701,8/16/2016 12:40,,no_apparent_trigger,0,rock_fall
small,0,-122.7258149,45.51973384,1/18/2017 14:27,,snowfall_snowmelt,0,landslide
medium,3,91.82931979,24.19467451,6/3/2017 13:34,,rain,1,landslide
catastrophic,4,-53.20874578,71.53659933,6/17/2017 13:20,,freeze_thaw,9,landslide
large,18,92.15898865,22.65242372,6/13/2017 18:48,,downpour,,landslide
small,0,76.93732121,31.72415448,6/27/2017 13:10,,downpour,0,landslide
small,0,-81.01035394,35.14803123,5/21/2017 20:14,,rain,0,mudslide
small,0,104.8707001,8.689622221,6/25/2017 13:10,,downpour,0,riverbank_collapse
large,0,21.6242683,40.59525301,6/10/2017 18:48,,unknown,0,landslide
medium,0,87.67107225,27.33861278,6/4/2017 13:34,,continuous_rain,0,landslide
small,0,114.4132965,29.04080591,6/25/2017 13:10,,continuous_rain,0,mudslide
large,0,7.61990403,46.28376389,5/29/2017 13:34,,snowfall_snowmelt,0,debris_flow
medium,0,103.2768718,26.92110789,6/30/2017 13:20,,rain,0,landslide
small,0,92.64204045,27.01145644,7/1/2017 15:17,,continuous_rain,0,landslide
small,0,-79.96332756,40.3518191,6/28/2017 13:10,,unknown,0,landslide
medium,0,100.3934933,-0.899660812,5/30/2017 13:34,,flooding,,landslide
medium,0,121.418086,24.59383609,5/28/2017 13:34,,rain,0,rock_fall
large,0,0.117078316,50.76049237,6/22/2017 13:20,,no_apparent_trigger,,landslide
small,0,110.5208594,1.54384065,5/29/2017 13:34,,unknown,0,riverbank_collapse
small,0,11.737339,50.868738,5/19/2017 20:14,,rain,7,mudslide
large,0,67.81728309,39.52666359,6/26/2017 13:20,,downpour,0,mudslide
small,0,74.16234114,15.68638494,6/29/2017 13:10,,continuous_rain,0,landslide
small,0,106.6185846,-6.714382566,6/10/2017 13:27,,rain,0,landslide
medium,6,80.23142734,6.50950401,5/25/2017 16:59,,continuous_rain,,landslide
small,0,-83.50704109,35.72457989,5/24/2017 16:59,,rain,0,mudslide
small,0,18.18030889,42.62244921,6/5/2017 13:20,,leaking_pipe,0,landslide
medium,1,101.677787,3.185783,8/30/2016 14:32,,downpour,1,landslide
small,0,-80.89111591,37.35718266,5/18/2017 13:15,,earthquake,0,landslide
small,0,114.04228,4.193408,5/18/2017 20:14,,rain,0,landslide
small,0,-109.4327121,44.76558796,6/18/2017 13:15,,rain,0,landslide
medium,0,80.49138664,6.260792736,5/26/2017 16:59,,continuous_rain,0,landslide
medium,0,88.59676956,27.54295099,5/26/2017 13:34,,rain,0,landslide
medium,1,73.51484236,34.78860948,6/29/2017 13:20,,rain,1,mudslide
